kind,etag,id,snippet.channelId,snippet.title,param_part,param_regionCode,param_maxResults,param_pageToken,queryTime
youtube#guideCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/cKe5cQFDAFacJgSsRH_6x7oGHZU""",GCQmVzdCBvZiBZb3VUdWJl,UCBR8-60-B28hp2BmDPdntcQ,Best of YouTube,snippet,us,,,2020-02-04 13:22:31.112049+00:00
youtube#guideCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/cKe5cQFDAFacJgSsRH_6x7oGHZU""",GCQ3JlYXRvciBvbiB0aGUgUmlzZQ,UCBR8-60-B28hp2BmDPdntcQ,Creator on the Rise,snippet,us,,,2020-02-04 13:22:31.112049+00:00
youtube#guideCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/cKe5cQFDAFacJgSsRH_6x7oGHZU""",GCTXVzaWM,UCBR8-60-B28hp2BmDPdntcQ,Music,snippet,us,,,2020-02-04 13:22:31.112049+00:00
youtube#guideCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/cKe5cQFDAFacJgSsRH_6x7oGHZU""",GCQ29tZWR5,UCBR8-60-B28hp2BmDPdntcQ,Comedy,snippet,us,,,2020-02-04 13:22:31.112049+00:00
youtube#guideCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/cKe5cQFDAFacJgSsRH_6x7oGHZU""",GCRmlsbSAmIEVudGVydGFpbm1lbnQ,UCBR8-60-B28hp2BmDPdntcQ,Film & Entertainment,snippet,us,,,2020-02-04 13:22:31.112049+00:00
youtube#guideCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/cKe5cQFDAFacJgSsRH_6x7oGHZU""",GCR2FtaW5n,UCBR8-60-B28hp2BmDPdntcQ,Gaming,snippet,us,,,2020-02-04 13:22:31.112049+00:00
youtube#guideCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/cKe5cQFDAFacJgSsRH_6x7oGHZU""",GCQmVhdXR5ICYgRmFzaGlvbg,UCBR8-60-B28hp2BmDPdntcQ,Beauty & Fashion,snippet,us,,,2020-02-04 13:22:31.112049+00:00
youtube#guideCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/cKe5cQFDAFacJgSsRH_6x7oGHZU""",GCU3BvcnRz,UCBR8-60-B28hp2BmDPdntcQ,Sports,snippet,us,,,2020-02-04 13:22:31.112049+00:00
youtube#guideCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/cKe5cQFDAFacJgSsRH_6x7oGHZU""",GCVGVjaA,UCBR8-60-B28hp2BmDPdntcQ,Tech,snippet,us,,,2020-02-04 13:22:31.112049+00:00
youtube#guideCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/cKe5cQFDAFacJgSsRH_6x7oGHZU""",GCQ29va2luZyAmIEhlYWx0aA,UCBR8-60-B28hp2BmDPdntcQ,Cooking & Health,snippet,us,,,2020-02-04 13:22:31.112049+00:00
youtube#guideCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/cKe5cQFDAFacJgSsRH_6x7oGHZU""",GCTmV3cyAmIFBvbGl0aWNz,UCBR8-60-B28hp2BmDPdntcQ,News & Politics,snippet,us,,,2020-02-04 13:22:31.112049+00:00
